URL,ID,MPN,NAME,BRAND,CATEGORY,TAG,OVERVIEW,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,FEATURE_33,FEATURE_34,FEATURE_35,FEATURE_36,FEATURE_37,FEATURE_38,FEATURE_39,FEATURE_40,FEATURE_41,FEATURE_42,FEATURE_43,FEATURE_44,FEATURE_45,FEATURE_46,FEATURE_47,FEATURE_48,FEATURE_49,FEATURE_50,FEATURE_51,SPEC_HEADER_1,SPEC_VALUE_1,SPEC_HEADER_2,SPEC_VALUE_2,SPEC_HEADER_3,SPEC_VALUE_3,SPEC_HEADER_4,SPEC_VALUE_4,SPEC_HEADER_5,SPEC_VALUE_5,SPEC_HEADER_6,SPEC_VALUE_6,SPEC_HEADER_7,SPEC_VALUE_7,SPEC_HEADER_8,SPEC_VALUE_8,SPEC_HEADER_9,SPEC_VALUE_9,SPEC_HEADER_10,SPEC_VALUE_10,SPEC_HEADER_11,SPEC_VALUE_11,SPEC_HEADER_12,SPEC_VALUE_12,SPEC_HEADER_13,SPEC_VALUE_13,SPEC_HEADER_14,SPEC_VALUE_14,SPEC_HEADER_15,SPEC_VALUE_15,SPEC_HEADER_16,SPEC_VALUE_16,SPEC_HEADER_17,SPEC_VALUE_17,SPEC_HEADER_18,SPEC_VALUE_18,SPEC_HEADER_19,SPEC_VALUE_19,SPEC_HEADER_20,SPEC_VALUE_20,SPEC_HEADER_21,SPEC_VALUE_21,SPEC_HEADER_22,SPEC_VALUE_22,SPEC_HEADER_23,SPEC_VALUE_23,SPEC_HEADER_24,SPEC_VALUE_24,SPEC_HEADER_25,SPEC_VALUE_25,SPEC_HEADER_26,SPEC_VALUE_26,SPEC_HEADER_27,SPEC_VALUE_27,SPEC_HEADER_28,SPEC_VALUE_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_SRC_1,IMG_SRC_2,IMG_SRC_3,IMG_SRC_4,IMG_SRC_5,IMG_SRC_6,IMG_SRC_7,IMG_SRC_8,IMG_SRC_9,IMG_SRC_10,IMG_SRC_11,IMG_SRC_12,IMG_SRC_13,IMG_SRC_14,IMG_SRC_15,IMG_SRC_16,IMG_SRC_17,IMG_SRC_18,IMG_SRC_19,IMG_SRC_20,IMG_SRC_21,IMG_SRC_22,IMG_SRC_23,IMG_SRC_24,IMG_SRC_25,IMG_SRC_26,IMG_SRC_27,IMG_SRC_28,IMG_SRC_29,IMG_SRC_30,IMG_SRC_31,IMG_SRC_32,IMG_SRC_33,IMG_SRC_34,IMG_SRC_35,IMG_SRC_36,IMG_SRC_37,IMG_SRC_38,IMG_SRC_39,IMG_SRC_40,IMG_SRC_41,IMG_SRC_42,IMG_SRC_43,IMG_SRC_44,IMG_SRC_45,IMG_SRC_46,IMG_SRC_47,IMG_SRC_48,IMG_SRC_49,IMG_SRC_50,IMG_SRC_51,IMG_SRC_52,IMG_SRC_53,IMG_SRC_54,IMG_SRC_55,IMG_SRC_56,IMG_SRC_57,IMG_SRC_58,IMG_SRC_59,IMG_SRC_60
http://www.maxwarehouse.com/products/3m-1-88-in-w-x-25-yd-l-black-yellow-hazard-duct-tape,EJD-4003382,Model: 1125-BY,3M 1.88 in. W X 25 yd L Black/Yellow Hazard Duct Tape,3M,Home > Heating And Cooling > HVAC Parts and Accessories > Duct Tapes,"<div class=""detail"" id=""product_description"" itemprop=""description"">
<null>
</null></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight (lb),0.5,Length (in.),4.23,Width (in.),4.23,Height (in.),1.8,UPC,6.38E+11,Manufacturer Part No,1125-BY,Brand Name,3M,Length,25 yd,Width,1.88 in.,Color,Black/Yellow,Packaging Type,Shrinkwrap,Pattern,Hazard,Removable,No,Product Type,Duct Tape,Indoor or Outdoor,Indoor,UV Resistant,No,California residents see,Prop 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.maxwarehouse.com/products/3m-11-in-l-x-4-3-16-in-w-100-grit-medium-ceramic-drywall-sanding-sheet-100-pk,ACE-11635,Model: 10204,3M 11 in. L X 4-3/16 in. W 100 Grit Ceramic Sanding Sheet 25 pk,3M,"Home > Paint > Paint Tools and Supplies > Sandpaper, Patching and Repair","<div class=""detail"" id=""product_description"" itemprop=""description"">
                
                    3M Drywall sanding sheets are designed for sanding drywall joint compounds light or regular, patching compounds and plaster. It is made with aluminum oxide, a tough synthetic mineral that cuts cleanly and leaves a smooth finish.

                
                </div>","3M Drywall sanding sheets are designed for sanding drywall joint compounds light or regular, patching compounds and plaster. It is made with aluminum oxide, a tough synthetic mineral that cuts cleanly and leaves a smooth finish.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight (lb),1.9,Length (in.),12,Width (in.),4.8,Height (in.),2.3,UPC,51144102044,Manufacturer Part No,10204,Brand Name,3M,Length,11 in.,Grit,100 Grit,Width,4-3/16 in.,Grit Type,Medium,Material,Ceramic,Recommended Surface,Drywall,Wet or Dry,Wet and Dry,Packaging Type,Carded,Product Type,Sanding Sheet,Number in Package,25 pk,California residents see,Prop 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.maxwarehouse.com/products/3m-11060-g-6-3-2-3-x-9-sandblaster-60-grit-sandpaper-with-no-slip-grip-backing-6-count,JEN-9000-0833,Model: 11060-G-6,3M Sandblaster 9 in. L X 3-2/3 in. W 60 Grit Ceramic Sandpaper 6 pk,3M,"Home > Paint > Paint Tools and Supplies > Sandpaper, Patching and Repair","<div class=""detail"" id=""product_description"" itemprop=""description"">
                
                    3M Sandblaster, 6 Pack, 60 Grit, 3-2/3"" x 9"", Sandpaper With No Slip Grip Backing, Backing Is Perfect For Fast Stripping Of Rust, Paint, Varnish &amp; Very Rough Surfaces Using Sharp Minerals &amp; Strong Resins That Cut Fast &amp; Last Long, Lasts 10 Times Long

                
                </div>","3M Sandblaster, 6 Pack, 60 Grit, 3-2/3"" x 9"", Sandpaper With No Slip Grip Backing, Backing Is Perfect For Fast Stripping Of Rust, Paint, Varnish & Very Rough Surfaces Using Sharp Minerals & Strong Resins That Cut Fast & Last Long, Lasts 10 Times Long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight (lb),0.18,Length (in.),0.45,Width (in.),4.1,Height (in.),10.1,UPC,76308496852,Manufacturer Part No,11060-G-6,Brand Name,3M,Length,9 in.,Width,3-2/3 in.,Grit,60 Grit,Grit Type,Coarse,Material,Ceramic,Product Type,Sandpaper,Number in Package,6 pk,Wet or Dry,Wet and Dry,Packaging Type,Carded,Recommended Surface,"Fiberglass, Metal, Paint, Plastic and Wood",Sub Brand,Sandblaster,California residents see,Prop 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.maxwarehouse.com/products/3m-17026-20-count-command-decorating-clips,JEN-2182-3844,Model: 17026CLR-ES,3M Command Small Plastic Decorating Clip 0.75 in. L 12 pk,3M,Home > Hardware > Fasteners > Hook and Loop,"<div class=""detail"" id=""product_description"" itemprop=""description"">
                
                    Forget about nails, screws and tacks, Command Clear Hooks are fast and easy to hang! The revolutionary Command Clear Adhesive Strip adhere firmly to many surfaces, including paint, wood, tile and more. Yet, come off leaving no holes, marks, or sticky residue. Command Clear Hooks and Strips blend in seamlessly allowing you to show what matters most, your decor, not how it's hung up. Rehanging them is as easy as applying a Command Clear Refill Strip, so you can take down, move and reuse them again and again! *

                
                </div>","Forget about nails, screws and tacks, Command Clear Hooks are fast and easy to hang! The revolutionary Command Clear Adhesive Strip adhere firmly to many surfaces, including paint, wood, tile and more. Yet, come off leaving no holes, marks, or sticky residue. Command Clear Hooks and Strips blend in seamlessly allowing you to show what matters most, your decor, not how it's hung up. Rehanging them is as easy as applying a Command Clear Refill Strip, so you can take down, move and reuse them again and again! ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight (lb),0.1,Length (in.),0.45,Width (in.),3.8,Height (in.),6.7,UPC,51141346991,Manufacturer Part No,17026CLR-ES,Brand Name,3M,Sub Brand,Command,Size Class,Small,Material,Plastic,Product Type,Decorating Clip,Usage,Multi-Purpose Use,Packaging Type,Carded,Indoor or Outdoor,Indoor,Width,0.5 in.,Color,Clear,Easy Install,Yes,Self Adhesive,Yes,Length,0.75 in.,Number in Package,12 pk,Hardware Included,No Hardware Needed,Installation Type,Wall Mounted,California residents see,Prop 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.maxwarehouse.com/products/3m-20080-g-4-9-x-11-sandblaster-80-grit-sandpaper-with-no-slip-grip-backing-4-count,JEN-9000-0839,Model: 20080-G-4,3M Sandblaster 11 in. L X 9 in. W 80 Grit Ceramic Sandpaper 4 pk,3M,"Home > Paint > Paint Tools and Supplies > Sandpaper, Patching and Repair","<div class=""detail"" id=""product_description"" itemprop=""description"">
                
                    Get the job done in a flash with the help of 3M™ SandBlaster™ No Slip Grip™ Sanding Sheets. This premium sandpaper makes sanding your surface a breeze with its No Slip Grip™ backing and high quality materials. Each large sheet is perfect for customizing to your needs and its unique coating resists clogging. Whether you're sanding wood, drywall or metal, each sheet can be used on wet or dry surfaces and the durable backing stands up to the job. Whether you're working construction or refinishing a piece of furniture, rely on 3M™ SandBlaster™ Advanced Sanding Sheets to get the job done right.

                
                </div>","Get the job done in a flash with the help of 3M™ SandBlaster™ No Slip Grip™ Sanding Sheets. This premium sandpaper makes sanding your surface a breeze with its No Slip Grip™ backing and high quality materials. Each large sheet is perfect for customizing to your needs and its unique coating resists clogging. Whether you're sanding wood, drywall or metal, each sheet can be used on wet or dry surfaces and the durable backing stands up to the job. Whether you're working construction or refinishing a piece of furniture, rely on 3M™ SandBlaster™ Advanced Sanding Sheets to get the job done right.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight (lb),0.33,Length (in.),0.5,Width (in.),9.35,Height (in.),12.1,UPC,76308496739,Manufacturer Part No,20080-G-4,Brand Name,3M,Length,11 in.,Width,9 in.,Grit,80 Grit,Grit Type,Coarse,Material,Ceramic,Product Type,Sandpaper,Number in Package,4 pk,Packaging Type,Carded,Wet or Dry,Wet and Dry,Recommended Surface,"Fiberglass, Metal, Paint, Plastic and Wood",Sub Brand,Sandblaster,California residents see,Prop 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.maxwarehouse.com/products/3m-20120-g-4-9-x-11-sandblaster-120-grit-sandpaper-with-no-slip-grip-backing-4-count,JEN-9000-0840,Model: 20120-G-4,3M Sandblaster 11 in. L X 9 in. W 120 Grit Ceramic Sandpaper 4 pk,3M,"Home > Paint > Paint Tools and Supplies > Sandpaper, Patching and Repair","<div class=""detail"" id=""product_description"" itemprop=""description"">
                
                    3M Sandblaster, 4 Pack, 9"" x 11"", 120 Grit, Sandpaper With No Slip Backing, Advanced Abrasives Are Now Better, Combination Of No Slip Grip Backing &amp; Premium Mineral Technology Providing 10x Longer Sheet Life.

                
                </div>","3M Sandblaster, 4 Pack, 9"" x 11"", 120 Grit, Sandpaper With No Slip Backing, Advanced Abrasives Are Now Better, Combination Of No Slip Grip Backing & Premium Mineral Technology Providing 10x Longer Sheet Life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight (lb),0.27,Length (in.),0.45,Width (in.),9.25,Height (in.),12,UPC,76308496760,Manufacturer Part No,20120-G-4,Brand Name,3M,Length,11 in.,Width,9 in.,Grit,120 Grit,Grit Type,Medium,Material,Ceramic,Product Type,Sandpaper,Number in Package,4 pk,Wet or Dry,Wet and Dry,Packaging Type,Carded,Recommended Surface,"Fiberglass, Metal, Paint, Plastic and Wood",Sub Brand,Sandblaster,California residents see,Prop 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.maxwarehouse.com/products/3m-2020-24a-1-scotch-general-purpose-masking-tape,JEN-3641-2047,Model: 2020-24AP,Scotch Contractor Grade .94 in. W X 60.1 yd L Beige Medium Strength Masking Tape 1 pk,3M,"Home > Paint > Tape, Glues and Adhesives","<div class=""detail"" id=""product_description"" itemprop=""description"">
                
                    Scotch Contractor Grade Masking Tape is a general-purpose masking tape designed for use on non-damageable surfaces. Use on vinyl, carpet, metal and plastic for the protection you need to get the job done. Scotch Contractor Grade Masking Tape holds to surfaces for up to 3 days and then removes easily without leaving any sticky residue behind.

                
                </div>","Scotch Contractor Grade Masking Tape is a general-purpose masking tape designed for use on non-damageable surfaces. Use on vinyl, carpet, metal and plastic for the protection you need to get the job done. Scotch Contractor Grade Masking Tape holds to surfaces for up to 3 days and then removes easily without leaving any sticky residue behind.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight (lb),0.34,Length (in.),1,Width (in.),4.6,Height (in.),4.6,UPC,21200711060,Manufacturer Part No,2020-24AP,Brand Name,Scotch,Width,.94 in.,Product Type,Masking Tape,Number in Package,1 pk,Removal Timeframe,3 day,Recommended Surface,Multi-Surface,Color,Beige,Adhesion Strength,Medium Strength,Sub Brand,Contractor Grade,Adhesive Type,Rubber,Core Size,3 in.,Backing Material,Crepe Paper,Length,60.1 yd,California residents see,Prop 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.maxwarehouse.com/products/3m-2020-36a-1-1-2-scotch-general-purpose-masking-tape,JEN-3641-2039,Model: 2020-36AP,Scotch Contractor Grade 1.41 in. W X 60.1 yd L Beige Medium Strength Masking Tape 1 pk,3M,"Home > Paint > Tape, Glues and Adhesives","<div class=""detail"" id=""product_description"" itemprop=""description"">
                
                    Scotch Contractor Grade Masking Tape is a general-purpose masking tape designed for use on non-damageable surfaces. Use on vinyl, carpet, metal and plastic for the protection you need to get the job done. Scotch Contractor Grade Masking Tape holds to surfaces for up to 3 days and then removes easily without leaving any sticky residue behind.

                
                </div>","Scotch Contractor Grade Masking Tape is a general-purpose masking tape designed for use on non-damageable surfaces. Use on vinyl, carpet, metal and plastic for the protection you need to get the job done. Scotch Contractor Grade Masking Tape holds to surfaces for up to 3 days and then removes easily without leaving any sticky residue behind.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight (lb),0.5,Length (in.),1.55,Width (in.),4.6,Height (in.),4.6,UPC,21200711077,Manufacturer Part No,2020-36AP,Brand Name,Scotch,Product Type,Masking Tape,Number in Package,1 pk,Recommended Surface,Multi-Surface,Removal Timeframe,3 day,Width,1.41 in.,Color,Beige,Adhesion Strength,Medium Strength,Adhesive Type,Rubber,Sub Brand,Contractor Grade,Backing Material,Crepe Paper,Core Size,3 in.,Length,60.1 yd,California residents see,Prop 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.maxwarehouse.com/products/3m-2020-48a-2-scotch-general-purpose-masking-tape,JEN-3641-2021,Model: 2020-48AP,Scotch Contractor Grade 1.88 in. W X 60.1 yd L Beige Medium Strength Masking Tape 1 pk,3M,"Home > Paint > Tape, Glues and Adhesives","<div class=""detail"" id=""product_description"" itemprop=""description"">
                
                    Scotch Contractor Grade Masking Tape is a general-purpose masking tape designed for use on non-damageable surfaces. Use on vinyl, carpet, metal and plastic for the protection you need to get the job done. Scotch Contractor Grade Masking Tape holds to surfaces for up to 3 days and then removes easily without leaving any sticky residue behind.

                
                </div>","Scotch Contractor Grade Masking Tape is a general-purpose masking tape designed for use on non-damageable surfaces. Use on vinyl, carpet, metal and plastic for the protection you need to get the job done. Scotch Contractor Grade Masking Tape holds to surfaces for up to 3 days and then removes easily without leaving any sticky residue behind.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight (lb),0.66,Length (in.),4.6,Width (in.),4.6,Height (in.),1.95,UPC,21200711084,Manufacturer Part No,2020-48AP,Brand Name,Scotch,Width,1.88 in.,Product Type,Masking Tape,Number in Package,1 pk,Recommended Surface,Multi-Surface,Removal Timeframe,3 day,Color,Beige,Adhesion Strength,Medium Strength,Backing Material,Crepe Paper,Sub Brand,Contractor Grade,Adhesive Type,Rubber,Core Size,3 in.,Length,60.1 yd,California residents see,Prop 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.maxwarehouse.com/products/3m-20220-g-4-9-x-11-sandblaster-220-grit-sandpaper-with-no-slip-grip-backing-4-count,JEN-9000-0842,Model: 20220-G-4,3M Sandblaster 11 in. L X 9 in. W 220 Grit Ceramic Sandpaper 4 pk,3M,"Home > Paint > Paint Tools and Supplies > Sandpaper, Patching and Repair","<div class=""detail"" id=""product_description"" itemprop=""description"">
                
                    3M Sandblaster, 4 Pack, 9"" x 11"", 220 Grit, Sandpaper With No Slip Backing, Advanced Abrasives Are Now Better, Combination Of No Slip Grip Backing &amp; Premium Mineral Technology Providing 10x Longer Sheet Life.

                
                </div>","3M Sandblaster, 4 Pack, 9"" x 11"", 220 Grit, Sandpaper With No Slip Backing, Advanced Abrasives Are Now Better, Combination Of No Slip Grip Backing & Premium Mineral Technology Providing 10x Longer Sheet Life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight (lb),0.22,Length (in.),0.5,Width (in.),9.3,Height (in.),12.1,UPC,76308496791,Manufacturer Part No,20220-G-4,Brand Name,3M,Length,11 in.,Width,9 in.,Grit,220 Grit,Material,Ceramic,Product Type,Sandpaper,Number in Package,4 pk,Packaging Type,Carded,Wet or Dry,Wet and Dry,Grit Type,Very Fine,Recommended Surface,"Fiberglass, Metal, Paint, Plastic and Wood",Sub Brand,Sandblaster,California residents see,Prop 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
