URL,ID,MPN,NAME,BRAND,CATEGORY,TAG,OVERVIEW,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,FEATURE_33,FEATURE_34,FEATURE_35,FEATURE_36,FEATURE_37,FEATURE_38,FEATURE_39,FEATURE_40,FEATURE_41,FEATURE_42,FEATURE_43,FEATURE_44,FEATURE_45,FEATURE_46,FEATURE_47,FEATURE_48,FEATURE_49,FEATURE_50,FEATURE_51,SPEC_HEADER_1,SPEC_VALUE_1,SPEC_HEADER_2,SPEC_VALUE_2,SPEC_HEADER_3,SPEC_VALUE_3,SPEC_HEADER_4,SPEC_VALUE_4,SPEC_HEADER_5,SPEC_VALUE_5,SPEC_HEADER_6,SPEC_VALUE_6,SPEC_HEADER_7,SPEC_VALUE_7,SPEC_HEADER_8,SPEC_VALUE_8,SPEC_HEADER_9,SPEC_VALUE_9,SPEC_HEADER_10,SPEC_VALUE_10,SPEC_HEADER_11,SPEC_VALUE_11,SPEC_HEADER_12,SPEC_VALUE_12,SPEC_HEADER_13,SPEC_VALUE_13,SPEC_HEADER_14,SPEC_VALUE_14,SPEC_HEADER_15,SPEC_VALUE_15,SPEC_HEADER_16,SPEC_VALUE_16,SPEC_HEADER_17,SPEC_VALUE_17,SPEC_HEADER_18,SPEC_VALUE_18,SPEC_HEADER_19,SPEC_VALUE_19,SPEC_HEADER_20,SPEC_VALUE_20,SPEC_HEADER_21,SPEC_VALUE_21,SPEC_HEADER_22,SPEC_VALUE_22,SPEC_HEADER_23,SPEC_VALUE_23,SPEC_HEADER_24,SPEC_VALUE_24,SPEC_HEADER_25,SPEC_VALUE_25,SPEC_HEADER_26,SPEC_VALUE_26,SPEC_HEADER_27,SPEC_VALUE_27,SPEC_HEADER_28,SPEC_VALUE_28,SPEC_HEADER_29,SPEC_VALUE_29,SPEC_HEADER_30,SPEC_VALUE_30,SPEC_HEADER_31,SPEC_VALUE_31,SPEC_HEADER_32,SPEC_VALUE_32,SPEC_HEADER_33,SPEC_VALUE_33,SPEC_HEADER_34,SPEC_VALUE_34,SPEC_HEADER_35,SPEC_VALUE_35,SPEC_HEADER_36,SPEC_VALUE_36,SPEC_HEADER_37,SPEC_VALUE_37,SPEC_HEADER_38,SPEC_VALUE_38,SPEC_HEADER_39,SPEC_VALUE_39,SPEC_HEADER_40,SPEC_VALUE_40,SPEC_HEADER_41,SPEC_VALUE_41,SPEC_HEADER_42,SPEC_VALUE_42,SPEC_HEADER_43,SPEC_VALUE_43,IMG_SRC_1,IMG_SRC_2,IMG_SRC_3,IMG_SRC_4,IMG_SRC_5,IMG_SRC_6,IMG_SRC_7,IMG_SRC_8,IMG_SRC_9,IMG_SRC_10,IMG_SRC_11,IMG_SRC_12,IMG_SRC_13,IMG_SRC_14,IMG_SRC_15,IMG_SRC_16,IMG_SRC_17,IMG_SRC_18,IMG_SRC_19,IMG_SRC_20,IMG_SRC_21,IMG_SRC_22,IMG_SRC_23,IMG_SRC_24,IMG_SRC_25,IMG_SRC_26,IMG_SRC_27,IMG_SRC_28,IMG_SRC_29,IMG_SRC_30,IMG_SRC_31,IMG_SRC_32,IMG_SRC_33,IMG_SRC_34,IMG_SRC_35,IMG_SRC_36,IMG_SRC_37,IMG_SRC_38,IMG_SRC_39,IMG_SRC_40,IMG_SRC_41,IMG_SRC_42,IMG_SRC_43,IMG_SRC_44,IMG_SRC_45,IMG_SRC_46,IMG_SRC_47,IMG_SRC_48,IMG_SRC_49,IMG_SRC_50,IMG_SRC_51,IMG_SRC_52,IMG_SRC_53,IMG_SRC_54,IMG_SRC_55,IMG_SRC_56,IMG_SRC_57,IMG_SRC_58,IMG_SRC_59,IMG_SRC_60
https://bathroomsbydesign.com/abacus-essentials-iso-wc-press-panel-flush-plate-chrome-12dss.html,,ABA-ATFR-PR25-0005,Abacus Essentials ISO WC Press Panel / Flush Plate Chrome - 12DSS,,Home > Shop > Toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,ABA-ATFR-PR25-0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bathroomsbydesign.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/A/T/ATFR-PR25-0005.jpg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bathroomsbydesign.com/abacus-economy-12mm-tile-backer-board-wall-kit-2-88m2-12dss.html,,ABA-ATWR-AP20-1005,Abacus Economy 12mm Tile Backer Board Wall Kit 2.88m2 - 12DSS,,Home > Shop > Tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,ABA-ATWR-AP20-1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bathroomsbydesign.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/A/T/ATWR-AP20-1005-Plumb2u-12mm-Tile-Backer-Board-Wall-Kit-2-88-sqm-ATWR-.jpg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bathroomsbydesign.com/abacus-tile-backer-board-mini-12mm-1200x600mm-single.html,,ABA-ATWR-BD05-1012,Abacus Tile Backer Board Mini 12mm 1200x600mm - Single,,Home > Shop > Showers > Wetrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,ABA-ATWR-BD05-1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bathroomsbydesign.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/A/T/ATWR-BD05-1012-Plumb2u-12mm-Mini-Tile-Backer-Board-1200mm-x-600mm-ATW_1_.jpg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bathroomsbydesign.com/abacus-elements-mini-tile-backer-board-50mm-single-sheet-1200-x-600mm-12dss.html,,ABA-ATWR-BD05-1050,Abacus Elements Mini Tile Backer Board 50mm Single Sheet 1200 x 600mm - 12DSS,,Home > Shop > Showers > Wetrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,ABA-ATWR-BD05-1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bathroomsbydesign.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/3/53dfaab3108a0fd54cbd076cc72b1908.jpg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bathroomsbydesign.com/abacus-elements-standard-tile-backer-board-10mm-single-sheet-2400-x-600mm-12dss.html,,ABA-ATWR-BD10-1010,Abacus Elements Standard Tile Backer Board 10mm Single Sheet 2400 x 600mm - 12DSS,,Home > Shop > Showers > Wetrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,ABA-ATWR-BD10-1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bathroomsbydesign.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/A/T/ATWR-BD10-1010.jpg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bathroomsbydesign.com/abacus-elements-standard-tile-backer-board-12mm-single-sheet-2400-x-600mm-12dss.html,,ABA-ATWR-BD10-1012,Abacus Elements Standard Tile Backer Board 12mm Single Sheet 2400 x 600mm - 12DSS,,Home > Shop > Showers > Wetrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,ABA-ATWR-BD10-1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bathroomsbydesign.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/3/53fd999b5b5420d413a3a012526e004a.jpg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bathroomsbydesign.com/abacus-elements-standard-tile-backer-board-30mm-single-sheet-2400-x-600mm-12dss.html,,ABA-ATWR-BD10-1030,Abacus Elements Standard Tile Backer Board 30mm Single Sheet 2400 x 600mm - 12DSS,,Home > Shop > Showers > Wetrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,ABA-ATWR-BD10-1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bathroomsbydesign.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/A/T/ATWR-BD10-1010.jpg_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bathroomsbydesign.com/abacus-kubik-towel-warmer-1170x500mm-ps.html,,ABA-BDLRD-15-10PS,Abacus Kubik Towel Warmer 1170x500mm Ps,,Home > Shop > Heating > Heated Towel Rails,"<div class=""std"" itemprop=""description""><p>Ben De Lisi Kubik 1170mmx500mm Ps Polished Stainless Steel</p></div>",Ben De Lisi Kubik 1170mmx500mm Ps Polished Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,ABA-BDLRD-15-10PS,Width (mm),500,Depth (mm),64,Height (mm),1170,Finish Guarantee,25 Years(Lifetime),Interior Material,Stainless Steel,Accesibility Suitable,Yes,Pipe Centres,£460.00,Wattage,£850.00,Product Guarantee,25 Years(Lifetime),Color,Stainless Steel,Finish,Polished,shape,Square,Style,Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bathroomsbydesign.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/B/D/BDLRD-15-10PS.jpg.jpg,https://bathroomsbydesign.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/B/D/BDLRD-15-10PS_1.jpg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bathroomsbydesign.com/abacus-standard-electric-element-600w-matt-black-with-grey-cable-12dss.html,,ABA-ELDF-50-60MB,Abacus Standard Electric Element 600w Matt Black With Grey Cable - 12DSS,,Home > Shop > Heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,ABA-ELDF-50-60MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bathroomsbydesign.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/E/L/ELDF-50-60MB.jpg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
